text,label,source,collected_at,predicted_label,model_confidence
"Derp. Which is worse, a dude who always wants to party or a dude who files a complaint about the three drug abusers he lives with
",negative,hf:sms_spam,2026-03-28T03:13:21.908305,negative,0.621
"No i am not having not any movies in my laptop
",negative,hf:sms_spam,2026-03-28T03:13:21.908305,negative,0.721
"Kit Strip - you have been billed 150p. Netcollex Ltd. PO Box 1013 IG11 OJA
",positive,hf:sms_spam,2026-03-28T03:13:21.908305,negative,0.558
"URGENT This is our 2nd attempt to contact U. Your £900 prize from YESTERDAY is still awaiting collection. To claim CALL NOW 09061702893. ACL03530150PM
",positive,hf:sms_spam,2026-03-28T03:13:21.908305,positive,0.666
"Some friends want me to drive em someplace, probably take a while
",negative,hf:sms_spam,2026-03-28T03:13:21.908305,negative,0.666
"Dunno y u ask me.
",negative,hf:sms_spam,2026-03-28T03:13:21.908305,negative,0.749
"Call Germany for only 1 pence per minute! Call from a fixed line via access number 0844 861 85 85. No prepayment. Direct access!
",positive,hf:sms_spam,2026-03-28T03:13:21.908305,positive,0.724
"Yes princess! I want to catch you with my big strong hands...
",negative,hf:sms_spam,2026-03-28T03:13:21.908305,negative,0.669
"Dear,shall mail tonite.busy in the street,shall update you tonite.things are looking ok.varunnathu edukkukayee raksha ollu.but a good one in real sense.
",negative,hf:sms_spam,2026-03-28T03:13:21.908305,negative,0.764
"(You didn't hear it from me)
",negative,hf:sms_spam,2026-03-28T03:13:21.908305,negative,0.703
"I promise to take good care of you, princess. I have to run now. Please send pics when you get a chance. Ttyl!
",negative,hf:sms_spam,2026-03-28T03:13:21.908305,negative,0.662
"all the lastest from Stereophonics, Marley, Dizzee Racal, Libertines and The Strokes! Win Nookii games with Flirt!! Click TheMob WAP Bookmark or text WAP to 82468
",positive,hf:sms_spam,2026-03-28T03:13:21.908305,negative,0.53
"*deep sigh* ... I miss you :-( ... I am really surprised you haven't gone to the net cafe yet to get to me ... Don't you miss me?
",negative,hf:sms_spam,2026-03-28T03:13:21.908305,negative,0.697
"Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry question(std txt rate)T&C's apply 08452810075over18's
",positive,hf:sms_spam,2026-03-28T03:13:21.908305,positive,0.664
"Have you not finished work yet or something?
",negative,hf:sms_spam,2026-03-28T03:13:21.908305,negative,0.669
"Dear Subscriber ur draw 4 £100 gift voucher will b entered on receipt of a correct ans. When was Elvis Presleys Birthday? TXT answer to 80062
",positive,hf:sms_spam,2026-03-28T03:13:21.908305,negative,0.538
"Great. Have a safe trip. Dont panic surrender all.
",negative,hf:sms_spam,2026-03-28T03:13:21.908305,negative,0.68
"Hasn't that been the pattern recently crap weekends?
",negative,hf:sms_spam,2026-03-28T03:13:21.908305,negative,0.658
"Was gr8 to see that message. So when r u leaving? Congrats dear. What school and wat r ur plans.
",negative,hf:sms_spam,2026-03-28T03:13:21.908305,negative,0.72
"Sorry that was my uncle. I.ll keep in touch
",negative,hf:sms_spam,2026-03-28T03:13:21.908305,negative,0.75
"So u workin overtime nigpun?
",negative,hf:sms_spam,2026-03-28T03:13:21.908305,negative,0.722
"I'd like to tell you my deepest darkest fantasies. Call me 09094646631 just 60p/min. To stop texts call 08712460324 (nat rate)
",positive,hf:sms_spam,2026-03-28T03:13:21.908305,positive,0.552
"Bognor it is! Should be splendid at this time of year.
",negative,hf:sms_spam,2026-03-28T03:13:21.908305,negative,0.684
"K, makes sense, btw carlos is being difficult so you guys are gonna smoke while I go pick up the second batch and get gas
",negative,hf:sms_spam,2026-03-28T03:13:21.908305,negative,0.69
"What is this 'hex' place you talk of? Explain!
",negative,hf:sms_spam,2026-03-28T03:13:21.908305,negative,0.672
"What happen dear. Why you silent. I am tensed
",negative,hf:sms_spam,2026-03-28T03:13:21.908305,negative,0.789
";-( oh well, c u later
",negative,hf:sms_spam,2026-03-28T03:13:21.908305,negative,0.711
"Do u konw waht is rael FRIENDSHIP Im gving yuo an exmpel: Jsut ese tihs msg.. Evrey splleing of tihs msg is wrnog.. Bt sitll yuo can raed it wihtuot ayn mitsake.. GOODNIGHT &amp; HAVE A NICE SLEEP..SWEET DREAMS..
",negative,hf:sms_spam,2026-03-28T03:13:21.908305,positive,0.589
"Unless it's a situation where YOU GO GURL would be more appropriate
",negative,hf:sms_spam,2026-03-28T03:13:21.908305,negative,0.69
"Lemme know when you're here
",negative,hf:sms_spam,2026-03-28T03:13:21.908305,negative,0.751
"Well the weather in cali's great. But its complexities are great. You need a car to move freely, its taxes are outrageous. But all in all its a great place. The sad part is i missing home.
",negative,hf:sms_spam,2026-03-28T03:13:21.908305,negative,0.725
"What Today-sunday..sunday is holiday..so no work..
",negative,hf:sms_spam,2026-03-28T03:13:21.908305,negative,0.687
"Aft i finish my lunch then i go str down lor. Ard 3 smth lor. U finish ur lunch already?
",negative,hf:sms_spam,2026-03-28T03:13:21.908305,negative,0.731
"Moby Pub Quiz.Win a £100 High Street prize if u know who the new Duchess of Cornwall will be? Txt her first name to 82277.unsub STOP £1.50 008704050406 SP Arrow
",positive,hf:sms_spam,2026-03-28T03:13:21.908305,positive,0.597
"Mm yes dear look how i am hugging you both. :-P
",negative,hf:sms_spam,2026-03-28T03:13:21.908305,negative,0.787
"Yeah imma come over cause jay wants to do some drugs
",negative,hf:sms_spam,2026-03-28T03:13:21.908305,negative,0.7
"Lol. Well quality aint bad at all so i aint complaining
",negative,hf:sms_spam,2026-03-28T03:13:21.908305,negative,0.682
"I'm freezing and craving ice. Fml
",negative,hf:sms_spam,2026-03-28T03:13:21.908305,negative,0.655
"Then ur physics get a-?
",negative,hf:sms_spam,2026-03-28T03:13:21.908305,negative,0.587
"Which is why i never wanted to tell you any of this. Which is why i'm so short with you and on-edge as of late.
",negative,hf:sms_spam,2026-03-28T03:13:21.908305,negative,0.684
"I am taking half day leave bec i am not well
",negative,hf:sms_spam,2026-03-28T03:13:21.908305,negative,0.731
"Someonone you know is trying to contact you via our dating service! To find out who it could be call from your mobile or landline 09064015307 BOX334SK38ch 
",positive,hf:sms_spam,2026-03-28T03:13:21.908305,positive,0.824
"Hello from Orange. For 1 month's free access to games, news and sport, plus 10 free texts and 20 photo messages, reply YES. Terms apply: www.orange.co.uk/ow
",positive,hf:sms_spam,2026-03-28T03:13:21.908305,positive,0.635
"Or maybe my fat fingers just press all these buttons and it doesn't know what to do.
",negative,hf:sms_spam,2026-03-28T03:13:21.908305,negative,0.731
"Al he does is moan at me if n e thin goes wrong its my fault&al de arguments r my fault&fed up of him of himso y bother? Hav 2go, thanx.xx
",negative,hf:sms_spam,2026-03-28T03:13:21.908305,negative,0.714
"Jay says that you're a double-faggot
",negative,hf:sms_spam,2026-03-28T03:13:21.908305,negative,0.708
"wamma get laid?want real doggin locations sent direct to your mobile? join the UKs largest dogging network. txt dogs to 69696 now!nyt. ec2a. 3lp £1.50/msg.
",positive,hf:sms_spam,2026-03-28T03:13:21.908305,positive,0.717
"Its not the same here. Still looking for a job. How much do Ta's earn there.
",negative,hf:sms_spam,2026-03-28T03:13:21.908305,negative,0.701
"naughty little thought: 'its better to flirt, flirt n flirt, rather than loving someone n gettin hurt, hurt n hurt...:-) Gud nyt
",negative,hf:sms_spam,2026-03-28T03:13:21.908305,negative,0.64
"Someone has contacted our dating service and entered your phone because they fancy you! To find out who it is call from a landline 09111032124 . PoBox12n146tf150p
",positive,hf:sms_spam,2026-03-28T03:13:21.908305,positive,0.75
"Good night my dear.. Sleepwell&amp;Take care
",negative,hf:sms_spam,2026-03-28T03:13:21.908305,negative,0.734
"URGENT! We are trying to contact you. Last weekends draw shows that you have won a £900 prize GUARANTEED. Call 09061701939. Claim code S89. Valid 12hrs only
",positive,hf:sms_spam,2026-03-28T03:13:21.908305,positive,0.513
"Done it but internet connection v slow and can‘t send it. Will try again later or first thing tomo.
",negative,hf:sms_spam,2026-03-28T03:13:21.908305,negative,0.706
"Haha awesome, I might need to take you up on that, what you doin tonight?
",negative,hf:sms_spam,2026-03-28T03:13:21.908305,negative,0.721
"Ok... Sweet dreams...
",negative,hf:sms_spam,2026-03-28T03:13:21.908305,negative,0.657
"Somebody should go to andros and steal ice
",negative,hf:sms_spam,2026-03-28T03:13:21.908305,negative,0.648
"Hi dear we saw dear. We both are happy. Where you my battery is low
",negative,hf:sms_spam,2026-03-28T03:13:21.908305,negative,0.773
"Why is that, princess? I bet the brothas are all chasing you!
",negative,hf:sms_spam,2026-03-28T03:13:21.908305,negative,0.734
"That day you asked about anand number. Why:-)
",negative,hf:sms_spam,2026-03-28T03:13:21.908305,negative,0.691
"Babe, I'm answering you, can't you see me ? Maybe you'd better reboot YM ... I got the photo ... It's great !
",negative,hf:sms_spam,2026-03-28T03:13:21.908305,negative,0.743
"Pls speak to that customer machan.
",negative,hf:sms_spam,2026-03-28T03:13:21.908305,negative,0.563
"K, wait chikku..il send aftr  &lt;#&gt; mins
",negative,hf:sms_spam,2026-03-28T03:13:21.908305,negative,0.624
"X course it 2yrs. Just so her messages on messenger lik you r sending me
",negative,hf:sms_spam,2026-03-28T03:13:21.908305,negative,0.758
"Yo, I'm at my parents' gettin cash. Good news: we picked up a downstem
",negative,hf:sms_spam,2026-03-28T03:13:21.908305,negative,0.642
"WINNER!! As a valued network customer you have been selected to receivea £900 prize reward! To claim call 09061701461. Claim code KL341. Valid 12 hours only.
",positive,hf:sms_spam,2026-03-28T03:13:21.908305,positive,0.584
"Had your mobile 11 months or more? U R entitled to Update to the latest colour mobiles with camera for Free! Call The Mobile Update Co FREE on 08002986030
",positive,hf:sms_spam,2026-03-28T03:13:21.908305,positive,0.675
" &lt;DECIMAL&gt; m but its not a common car here so its better to buy from china or asia. Or if i find it less expensive. I.ll holla
",negative,hf:sms_spam,2026-03-28T03:13:21.908305,negative,0.575
"Whatsup there. Dont u want to sleep
",negative,hf:sms_spam,2026-03-28T03:13:21.908305,negative,0.631
"Midnight at the earliest
",negative,hf:sms_spam,2026-03-28T03:13:21.908305,negative,0.69
"I jus hope its true that  missin me cos i'm really missin him! You haven't done anything to feel guilty about, yet.
",negative,hf:sms_spam,2026-03-28T03:13:21.908305,negative,0.716
"I can't speak, bcaz mobile have problem. I can listen you but you cann't listen my voice. So i calls you later.
",negative,hf:sms_spam,2026-03-28T03:13:21.908305,negative,0.691
"That would be great. We'll be at the Guild. Could meet on Bristol road or somewhere - will get in touch over weekend. Our plans take flight! Have a good week
",negative,hf:sms_spam,2026-03-28T03:13:21.908305,negative,0.64
"Good afternoon, babe. How goes that day ? Any job prospects yet ? I miss you, my love ... *sighs* ... :-(
",negative,hf:sms_spam,2026-03-28T03:13:21.908305,negative,0.751
"U repeat e instructions again. Wat's e road name of ur house?
",negative,hf:sms_spam,2026-03-28T03:13:21.908305,negative,0.625
"Your unique user ID is 1172. For removal send STOP to 87239 customer services 08708034412
",positive,hf:sms_spam,2026-03-28T03:13:21.908305,positive,0.631
"Your account has been refilled successfully by INR  &lt;DECIMAL&gt; . Your KeralaCircle prepaid account balance is Rs  &lt;DECIMAL&gt; . Your Transaction ID is KR &lt;#&gt; .
",negative,hf:sms_spam,2026-03-28T03:13:21.908305,positive,0.619
"Cancel cheyyamo?and get some money back?
",negative,hf:sms_spam,2026-03-28T03:13:21.908305,negative,0.647
"ALSO TELL HIM I SAID HAPPY BIRTHDAY
",negative,hf:sms_spam,2026-03-28T03:13:21.908305,negative,0.703
"I came hostel. I m going to sleep. Plz call me up before class. Hrishi.
",negative,hf:sms_spam,2026-03-28T03:13:21.908305,negative,0.636
"we tried to contact you re your response to our offer of a new nokia fone and camcorder hit reply or call 08000930705 for delivery
",positive,hf:sms_spam,2026-03-28T03:13:21.908305,positive,0.595
"Ultimately tor motive tui achieve korli.
",negative,hf:sms_spam,2026-03-28T03:13:21.908305,negative,0.637
"For fear of fainting with the of all that housework you just did? Quick have a cuppa
",negative,hf:sms_spam,2026-03-28T03:13:21.908305,negative,0.664
"Sad story of a Man - Last week was my b'day. My Wife did'nt wish me. My Parents forgot n so did my Kids . I went to work. Even my Colleagues did not wish.
",negative,hf:sms_spam,2026-03-28T03:13:21.908305,negative,0.783
"""Getting tickets 4 walsall tue 6 th march. My mate is getting me them on sat. ill pay my treat. Want 2 go. Txt bak .Terry""
",negative,hf:sms_spam,2026-03-28T03:13:21.908305,negative,0.698
"Hmm well, night night 
",negative,hf:sms_spam,2026-03-28T03:13:21.908305,negative,0.668
"I love to cuddle! I want to hold you in my strong arms right now...
",negative,hf:sms_spam,2026-03-28T03:13:21.908305,negative,0.66
"Me too. Mark is taking forever to pick up my prescription and the pain is coming back.
",negative,hf:sms_spam,2026-03-28T03:13:21.908305,negative,0.678
"Unfortunately i've just found out that we have to pick my sister up from the airport that evening so don't think i'll be going out at all. We should try to go out one of th
",negative,hf:sms_spam,2026-03-28T03:13:21.908305,negative,0.721
"GSOH? Good with SPAM the ladies?U could b a male gigolo? 2 join the uk's fastest growing mens club reply ONCALL. mjzgroup. 08714342399.2stop reply STOP. msg@£1.50rcvd
",positive,hf:sms_spam,2026-03-28T03:13:21.908305,positive,0.568
"HMV BONUS SPECIAL 500 pounds of genuine HMV vouchers to be won. Just answer 4 easy questions. Play Now! Send HMV to 86688 More info:www.100percent-real.com
",positive,hf:sms_spam,2026-03-28T03:13:21.908305,positive,0.527
"Yup bathe liao...
",negative,hf:sms_spam,2026-03-28T03:13:21.908305,negative,0.682
"Dare i ask... Any luck with sorting out the car?
",negative,hf:sms_spam,2026-03-28T03:13:21.908305,negative,0.694
"Jesus armand really is trying to tell everybody he can find
",negative,hf:sms_spam,2026-03-28T03:13:21.908305,negative,0.626
"wiskey Brandy Rum Gin Beer Vodka Scotch Shampain Wine ""KUDI""yarasu dhina vaazhthukkal. ..
",negative,hf:sms_spam,2026-03-28T03:13:21.908305,negative,0.637
"I will cme i want to go to hos 2morow. After that i wil cme. This what i got from her dear what to do. She didnt say any time
",negative,hf:sms_spam,2026-03-28T03:13:21.908305,negative,0.719
"Am surfing online store. For offers do you want to buy any thing.
",negative,hf:sms_spam,2026-03-28T03:13:21.908305,negative,0.643
"You busy or can I come by at some point and figure out what we're doing tomorrow
",negative,hf:sms_spam,2026-03-28T03:13:21.908305,negative,0.738
"Horrible u eat macs eat until u forgot abt me already rite... U take so long 2 reply. I thk it's more toot than b4 so b prepared. Now wat shall i eat?
",negative,hf:sms_spam,2026-03-28T03:13:21.908305,negative,0.694
"Ok. She'll be ok. I guess
",negative,hf:sms_spam,2026-03-28T03:13:21.908305,negative,0.712
"Carlos says we can pick up from him later so yeah we're set
",negative,hf:sms_spam,2026-03-28T03:13:21.908305,negative,0.683
"Is there any movie theatre i can go to and watch unlimited movies and just pay once?
",negative,hf:sms_spam,2026-03-28T03:13:21.908305,negative,0.669
"Ok... But they said i've got wisdom teeth hidden inside n mayb need 2 remove.
",negative,hf:sms_spam,2026-03-28T03:13:21.908305,negative,0.714
"I'm putting it on now. It should be ready for  &lt;TIME&gt; 
",negative,hf:sms_spam,2026-03-28T03:13:21.908305,negative,0.652
"I'm going for bath will msg you next  &lt;#&gt;  min..
",negative,hf:sms_spam,2026-03-28T03:13:21.908305,negative,0.599
"You've always been the brainy one.
",negative,hf:sms_spam,2026-03-28T03:13:21.908305,negative,0.742
"Aah! A cuddle would be lush! I'd need lots of tea and soup before any kind of fumbling!
",negative,hf:sms_spam,2026-03-28T03:13:21.908305,negative,0.641
"FREE RINGTONE text FIRST to 87131 for a poly or text GET to 87131 for a true tone! Help? 0845 2814032 16 after 1st free, tones are 3x£150pw to e£nd txt stop
",positive,hf:sms_spam,2026-03-28T03:13:21.908305,positive,0.647
"7 wonders in My WORLD 7th You 6th Ur style 5th Ur smile 4th Ur Personality 3rd Ur Nature 2nd Ur SMS and 1st ""Ur Lovely Friendship""... good morning dear
",negative,hf:sms_spam,2026-03-28T03:13:21.908305,negative,0.642
"Those were my exact intentions
",negative,hf:sms_spam,2026-03-28T03:13:21.908305,negative,0.701
"Urgent! call 09066612661 from landline. Your complementary 4* Tenerife Holiday or £10,000 cash await collection SAE T&Cs PO Box 3 WA14 2PX 150ppm 18+ Sender: Hol Offer
",positive,hf:sms_spam,2026-03-28T03:13:21.908305,positive,0.683
"I went to project centre
",negative,hf:sms_spam,2026-03-28T03:13:21.908305,negative,0.636
"If you ask her or she say any please message.
",negative,hf:sms_spam,2026-03-28T03:13:21.908305,negative,0.677
"So there's a ring that comes with the guys costumes. It's there so they can gift their future yowifes. Hint hint
",negative,hf:sms_spam,2026-03-28T03:13:21.908305,negative,0.687
"Yay! You better not have told that to 5 other girls either.
",negative,hf:sms_spam,2026-03-28T03:13:21.908305,negative,0.645
"I'm doing da intro covers energy trends n pros n cons... Brief description of nuclear fusion n oso brief history of iter n jet got abt 7 n half pages..
",negative,hf:sms_spam,2026-03-28T03:13:21.908305,negative,0.665
"URGENT! Your mobile was awarded a £1,500 Bonus Caller Prize on 27/6/03. Our final attempt 2 contact U! Call 08714714011
",positive,hf:sms_spam,2026-03-28T03:13:21.908305,positive,0.69
"Are you willing to go for aptitude class.
",negative,hf:sms_spam,2026-03-28T03:13:21.908305,negative,0.683
"Sunshine Quiz Wkly Q! Win a top Sony DVD player if u know which country Liverpool played in mid week? Txt ansr to 82277. £1.50 SP:Tyrone
",positive,hf:sms_spam,2026-03-28T03:13:21.908305,positive,0.744
"Hi ....My engagement has been fixd on  &lt;#&gt; th of next month. I know its really shocking bt....hmm njan vilikkam....t ws al of a sudn;-(.
",negative,hf:sms_spam,2026-03-28T03:13:21.908305,negative,0.647
"Normally i use to drink more water daily:)
",negative,hf:sms_spam,2026-03-28T03:13:21.908305,negative,0.583
"Ya srsly better than yi tho
",negative,hf:sms_spam,2026-03-28T03:13:21.908305,negative,0.605
"i am seeking a lady in the street and a freak in the sheets. Is that you?
",negative,hf:sms_spam,2026-03-28T03:13:21.908305,negative,0.703
"Yes:)sura in sun tv.:)lol.
",negative,hf:sms_spam,2026-03-28T03:13:21.908305,negative,0.677
"As usual..iam fine, happy &amp; doing well..:)
",negative,hf:sms_spam,2026-03-28T03:13:21.908305,negative,0.669
"How much would it cost to hire a hitman
",negative,hf:sms_spam,2026-03-28T03:13:21.908305,negative,0.623
"Why did I wake up on my own &gt;:(
",negative,hf:sms_spam,2026-03-28T03:13:21.908305,negative,0.715
"God's love has no limit. God's grace has no measure. God's power has no boundaries. May u have God's endless blessings always in ur life...!! Gud ni8
",negative,hf:sms_spam,2026-03-28T03:13:21.908305,negative,0.63
"K ill drink.pa then what doing. I need srs model pls send it to my mail id pa.
",negative,hf:sms_spam,2026-03-28T03:13:21.908305,negative,0.735
"URGENT! Your mobile number *************** WON a £2000 Bonus Caller prize on 10/06/03! This is the 2nd attempt to reach you! Call 09066368753 ASAP! Box 97N7QP, 150ppm
",positive,hf:sms_spam,2026-03-28T03:13:21.908305,positive,0.629
"I have had two more letters from . I will copy them for you cos one has a message for you. Speak soon
",negative,hf:sms_spam,2026-03-28T03:13:21.908305,negative,0.59
"Guess what! Somebody you know secretly fancies you! Wanna find out who it is? Give us a call on 09065394514 From Landline DATEBox1282EssexCM61XN 150p/min 18
",positive,hf:sms_spam,2026-03-28T03:13:21.908305,negative,0.524
"WHAT TIME U WRKIN?
",negative,hf:sms_spam,2026-03-28T03:13:21.908305,negative,0.737
"Check wid corect speling i.e. Sarcasm
",negative,hf:sms_spam,2026-03-28T03:13:21.908305,negative,0.619
"I went to ur hon lab but no one is there.
",negative,hf:sms_spam,2026-03-28T03:13:21.908305,negative,0.649
"Yes..but they said its IT.,
",negative,hf:sms_spam,2026-03-28T03:13:21.908305,negative,0.684
"Wot about on wed nite I am 3 then but only til 9!
",negative,hf:sms_spam,2026-03-28T03:13:21.908305,negative,0.703
"Congratulations ore mo owo re wa. Enjoy it and i wish you many happy moments to and fro wherever you go
",negative,hf:sms_spam,2026-03-28T03:13:21.908305,negative,0.702
"Hey u still at the gym?
",negative,hf:sms_spam,2026-03-28T03:13:21.908305,negative,0.694
"Aight, I'm chillin in a friend's room so text me when you're on the way
",negative,hf:sms_spam,2026-03-28T03:13:21.908305,negative,0.751
"Many times we lose our best ones bcoz we are 
",negative,hf:sms_spam,2026-03-28T03:13:21.908305,negative,0.638
"We have pizza if u want
",negative,hf:sms_spam,2026-03-28T03:13:21.908305,negative,0.637
"O i played smash bros  &lt;#&gt;  religiously.
",negative,hf:sms_spam,2026-03-28T03:13:21.908305,negative,0.609
"I'll be at mu in like  &lt;#&gt;  seconds
",negative,hf:sms_spam,2026-03-28T03:13:21.908305,negative,0.664
"Pandy joined 4w technologies today.he got job..
",negative,hf:sms_spam,2026-03-28T03:13:21.908305,negative,0.694
"Dear good morning now only i am up
",negative,hf:sms_spam,2026-03-28T03:13:21.908305,negative,0.749
"Fighting with the world is easy, u either win or lose bt fightng with some1 who is close to u is dificult if u lose - u lose if u win - u still lose.
",negative,hf:sms_spam,2026-03-28T03:13:21.908305,negative,0.518
"Dnt worry...use ice pieces in a cloth pack.also take 2 tablets.
",negative,hf:sms_spam,2026-03-28T03:13:21.908305,negative,0.669
"Nothing, smsing u n xy lor. Sorry lor da guys neva c u in person but they sort of know u lor. So u wan 2 meet them xy ask me 2 bring u along 4 our next meeting.
",negative,hf:sms_spam,2026-03-28T03:13:21.908305,negative,0.725
"Then u drive lor.
",negative,hf:sms_spam,2026-03-28T03:13:21.908305,negative,0.722
"Haha just kidding, papa needs drugs
",negative,hf:sms_spam,2026-03-28T03:13:21.908305,negative,0.699
"XXXMobileMovieClub: To use your credit, click the WAP link in the next txt message or click here>> http://wap. xxxmobilemovieclub.com?n=QJKGIGHJJGCBL
",positive,hf:sms_spam,2026-03-28T03:13:21.908305,negative,0.522
"Host-based IDPS for linux systems.
",negative,hf:sms_spam,2026-03-28T03:13:21.908305,positive,0.549
"HAPPY NEW YEAR MY NO.1 MAN
",negative,hf:sms_spam,2026-03-28T03:13:21.908305,negative,0.719
"She's fine. Good to hear from you. How are you my dear? Happy new year oh.
",negative,hf:sms_spam,2026-03-28T03:13:21.908305,negative,0.783
"Ok then i'll let him noe later n ask him call u tmr...
",negative,hf:sms_spam,2026-03-28T03:13:21.908305,negative,0.684
"S:)s.nervous  &lt;#&gt; :)
",negative,hf:sms_spam,2026-03-28T03:13:21.908305,negative,0.608
"FREE UNLIMITED HARDCORE PORN direct 2 your mobile Txt PORN to 69200 & get FREE access for 24 hrs then chrgd@50p per day txt Stop 2exit. This msg is free
",positive,hf:sms_spam,2026-03-28T03:13:21.908305,positive,0.697
"I am getting threats from your sales executive Shifad as i raised complaint against him. Its an official message.
",negative,hf:sms_spam,2026-03-28T03:13:21.908305,negative,0.611
"Just getting back home
",negative,hf:sms_spam,2026-03-28T03:13:21.908305,negative,0.734
"Okay lor... Wah... like that def they wont let us go... Haha... What did they say in the terms and conditions?
",negative,hf:sms_spam,2026-03-28T03:13:21.908305,negative,0.747
"Someone has conacted our dating service and entered your phone because they fancy you!To find out who it is call from landline 09111030116. PoBox12n146tf15
",positive,hf:sms_spam,2026-03-28T03:13:21.908305,positive,0.75
"Yup next stop.
",negative,hf:sms_spam,2026-03-28T03:13:21.908305,negative,0.566
"Don know..wait i will check it.
",negative,hf:sms_spam,2026-03-28T03:13:21.908305,negative,0.686
"Pls pls find out from aunt nike.
",negative,hf:sms_spam,2026-03-28T03:13:21.908305,negative,0.551
", ow u dey.i paid 60,400thousad.i told  u would call . 
",negative,hf:sms_spam,2026-03-28T03:13:21.908305,negative,0.573
"I notice you like looking in the shit mirror youre turning into a right freak
",negative,hf:sms_spam,2026-03-28T03:13:21.908305,negative,0.685
"Discussed with your mother ah?
",negative,hf:sms_spam,2026-03-28T03:13:21.908305,negative,0.6
"Beauty sleep can help ur pimples too.
",negative,hf:sms_spam,2026-03-28T03:13:21.908305,negative,0.618
"I am not at all happy with what you saying or doing
",negative,hf:sms_spam,2026-03-28T03:13:21.908305,negative,0.748
"aathi..where are you dear..
",negative,hf:sms_spam,2026-03-28T03:13:21.908305,negative,0.777
"Hi frnd, which is best way to avoid missunderstding wit our beloved one's?
",negative,hf:sms_spam,2026-03-28T03:13:21.908305,negative,0.592
"Ugh y can't u just apologize, admit u were wrong and ask me to take u back?
",negative,hf:sms_spam,2026-03-28T03:13:21.908305,negative,0.697
"Just finished eating. Got u a plate. NOT leftovers this time.
",negative,hf:sms_spam,2026-03-28T03:13:21.908305,negative,0.738
"Hey tmr meet at bugis 930 ?
",negative,hf:sms_spam,2026-03-28T03:13:21.908305,negative,0.669
