text,label,source,collected_at,auto_label,confidence
"Someone has conacted our dating service and entered your phone because they fancy you!To find out who it is call from landline 09111030116. PoBox12n146tf15
",positive,hf:sms_spam,2026-03-28T03:13:21.908305,positive,0.88
"HELLO PEACH! MY CAKE TASTS LUSH!
",negative,hf:sms_spam,2026-03-28T03:13:21.908305,negative,0.7
"Done it but internet connection v slow and can‘t send it. Will try again later or first thing tomo.
",negative,hf:sms_spam,2026-03-28T03:13:21.908305,negative,0.75
"Mobile Club: Choose any of the top quality items for your mobile. 7cfca1a
",positive,hf:sms_spam,2026-03-28T03:13:21.908305,positive,0.8
"SO IS TH GOWER MATE WHICH IS WHERE I AM!?! HOW R U MAN? ALL IS GOOD IN WALES ILL B BACK MORROW. C U THIS WK? WHO WAS THE MSG 4?  RANDOM!
",negative,hf:sms_spam,2026-03-28T03:13:21.908305,negative,0.73
"Haha, that was the first person I was gonna ask
",negative,hf:sms_spam,2026-03-28T03:13:21.908305,negative,0.7
"Do u konw waht is rael FRIENDSHIP Im gving yuo an exmpel: Jsut ese tihs msg.. Evrey splleing of tihs msg is wrnog.. Bt sitll yuo can raed it wihtuot ayn mitsake.. GOODNIGHT &amp; HAVE A NICE SLEEP..SWEET DREAMS..
",positive,hf:sms_spam,2026-03-28T03:13:21.908305,positive,0.88
"Haha I heard that, text me when you're around
",negative,hf:sms_spam,2026-03-28T03:13:21.908305,negative,0.92
"Congratulations - Thanks to a good friend U have WON the £2,000 Xmas prize. 2 claim is easy, just call 08712103738 NOW! Only 10p per minute. BT-national-rate
",positive,hf:sms_spam,2026-03-28T03:13:21.908305,positive,0.96
"How long has it been since you screamed, princess?
",negative,hf:sms_spam,2026-03-28T03:13:21.908305,negative,0.85
"I liked the new mobile
",negative,hf:sms_spam,2026-03-28T03:13:21.908305,negative,0.9
"Mm not entirely sure i understood that text but hey. Ho. Which weekend?
",negative,hf:sms_spam,2026-03-28T03:13:21.908305,negative,0.88
"ITS A LAPTOP TAKE IT WITH YOU.
",positive,hf:sms_spam,2026-03-28T03:13:21.908305,positive,0.72
"What happen dear. Why you silent. I am tensed
",negative,hf:sms_spam,2026-03-28T03:13:21.908305,negative,0.91
"Its good to hear from you
",negative,hf:sms_spam,2026-03-28T03:13:21.908305,negative,0.89
"Get the door, I'm here
",negative,hf:sms_spam,2026-03-28T03:13:21.908305,negative,0.87
"Not really dude, have no friends i'm afraid :(
",negative,hf:sms_spam,2026-03-28T03:13:21.908305,negative,0.86
"Wake me up at  &lt;#&gt;  am morning:)
",negative,hf:sms_spam,2026-03-28T03:13:21.908305,negative,0.84
"Message:some text missing* Sender:Name Missing* *Number Missing *Sent:Date missing *Missing U a lot thats y everything is missing sent via fullonsms.com
",positive,hf:sms_spam,2026-03-28T03:13:21.908305,positive,0.79
"hi my darlin im on my way to London and we have just been smashed into by another driver! and have a big dent! im really missing u what have u been up to? xxx
",negative,hf:sms_spam,2026-03-28T03:13:21.908305,negative,0.93
"Please attend the phone:)
",negative,hf:sms_spam,2026-03-28T03:13:21.908305,negative,0.85
"Sunshine Quiz Wkly Q! Win a top Sony DVD player if u know which country Liverpool played in mid week? Txt ansr to 82277. £1.50 SP:Tyrone
",positive,hf:sms_spam,2026-03-28T03:13:21.908305,positive,0.94
"Both :) i shoot big loads so get ready!
",negative,hf:sms_spam,2026-03-28T03:13:21.908305,negative,0.8
"Love has one law; Make happy the person you love. In the same way friendship has one law; Never make ur friend feel alone until you are alive.... Gud night
",negative,hf:sms_spam,2026-03-28T03:13:21.908305,negative,0.89
"And I don't plan on staying the night but I prolly won't be back til late
",negative,hf:sms_spam,2026-03-28T03:13:21.908305,negative,0.91
"Then u better go sleep.. Dun disturb u liao.. U wake up then msg me lor..
",negative,hf:sms_spam,2026-03-28T03:13:21.908305,negative,0.87
"Dunno y u ask me.
",negative,hf:sms_spam,2026-03-28T03:13:21.908305,negative,0.85
"Free msg. Sorry, a service you ordered from 81303 could not be delivered as you do not have sufficient credit. Please top up to receive the service.
",positive,hf:sms_spam,2026-03-28T03:13:21.908305,positive,0.9
"Someonone you know is trying to contact you via our dating service! To find out who it could be call from your mobile or landline 09064015307 BOX334SK38ch 
",positive,hf:sms_spam,2026-03-28T03:13:21.908305,positive,0.92
"Dunno he jus say go lido. Same time 930.
",negative,hf:sms_spam,2026-03-28T03:13:21.908305,negative,0.88
"Easy ah?sen got selected means its good..
",negative,hf:sms_spam,2026-03-28T03:13:21.908305,negative,0.72
"Host-based IDPS for linux systems.
",negative,hf:sms_spam,2026-03-28T03:13:21.908305,negative,0.95
"Ok u can take me shopping when u get paid =D
",negative,hf:sms_spam,2026-03-28T03:13:21.908305,negative,0.9
"Babe! How goes that day ? What are you up to ? I miss you already, my Love ... * loving kiss* ... I hope everything goes well.
",negative,hf:sms_spam,2026-03-28T03:13:21.908305,negative,0.88
"I'm at work. Please call
",negative,hf:sms_spam,2026-03-28T03:13:21.908305,negative,0.92
"Dare i ask... Any luck with sorting out the car?
",negative,hf:sms_spam,2026-03-28T03:13:21.908305,negative,0.91
"Then ü ask dad to pick ü up lar... Ü wan 2 stay until 6 meh...
",negative,hf:sms_spam,2026-03-28T03:13:21.908305,negative,0.86
"Aight, I should be there by 8 at the latest, probably closer to 7. Are jay and tyler down or should we just do two trips?
",negative,hf:sms_spam,2026-03-28T03:13:21.908305,negative,0.89
"am up to my eyes in philosophy
",negative,hf:sms_spam,2026-03-28T03:13:21.908305,negative,0.88
"XMAS iscoming & ur awarded either £500 CD gift vouchers & free entry 2 r £100 weekly draw txt MUSIC to 87066 TnC www.Ldew.com1win150ppmx3age16subscription 
",positive,hf:sms_spam,2026-03-28T03:13:21.908305,positive,0.94
"I'm not driving... Raining! Then i'll get caught at e mrt station lor.
",negative,hf:sms_spam,2026-03-28T03:13:21.908305,negative,0.87
"Shop till u Drop, IS IT YOU, either 10K, 5K, £500 Cash or £100 Travel voucher, Call now, 09064011000. NTT PO Box CR01327BT fixedline Cost 150ppm mobile vary
",positive,hf:sms_spam,2026-03-28T03:13:21.908305,positive,0.93
"Yo you guys ever figure out how much we need for alcohol? Jay and I are trying to figure out how much we can safely spend on weed
",negative,hf:sms_spam,2026-03-28T03:13:21.908305,negative,0.85
"Teach me apps da. When you come to college.
",negative,hf:sms_spam,2026-03-28T03:13:21.908305,negative,0.84
"So u workin overtime nigpun?
",negative,hf:sms_spam,2026-03-28T03:13:21.908305,negative,0.87
"Yeah imma come over cause jay wants to do some drugs
",negative,hf:sms_spam,2026-03-28T03:13:21.908305,negative,0.8
"22 days to kick off! For Euro2004 U will be kept up to date with the latest news and results daily. To be removed send GET TXT STOP to 83222
",positive,hf:sms_spam,2026-03-28T03:13:21.908305,positive,0.92
"Now thats going to ruin your thesis!
",negative,hf:sms_spam,2026-03-28T03:13:21.908305,negative,0.85
"I dont know what to do to come out of this so only am ask questions like this dont mistake me.
",negative,hf:sms_spam,2026-03-28T03:13:21.908305,negative,0.72
"Black shirt n blue jeans... I thk i c ü...
",negative,hf:sms_spam,2026-03-28T03:13:21.908305,negative,0.75
"Yes:)here tv is always available in work place..
",negative,hf:sms_spam,2026-03-28T03:13:21.908305,negative,0.8
"Kallis wont bat in 2nd innings.
",negative,hf:sms_spam,2026-03-28T03:13:21.908305,negative,0.82
"One of best dialogue in cute reltnship..!! ""Wen i Die, Dont Come Near My Body..!! Bcoz My Hands May Not Come 2 Wipe Ur Tears Off That Time..!Gud ni8
",negative,hf:sms_spam,2026-03-28T03:13:21.908305,negative,0.78
"Thanks honey. Have a great day.
",negative,hf:sms_spam,2026-03-28T03:13:21.908305,negative,0.88
"S now only i took tablets . Reaction morning only.
",negative,hf:sms_spam,2026-03-28T03:13:21.908305,negative,0.7
"You have an important customer service announcement. Call FREEPHONE 0800 542 0825 now!
",positive,hf:sms_spam,2026-03-28T03:13:21.908305,positive,0.95
"Babe ! How goes that day ? What are you doing ? Where are you ? I sip my cappuccino and think of you, my love ... I send a kiss to you from across the sea
",negative,hf:sms_spam,2026-03-28T03:13:21.908305,negative,0.8
"Ok... Sweet dreams...
",negative,hf:sms_spam,2026-03-28T03:13:21.908305,negative,0.86
"WHO ARE YOU SEEING?
",negative,hf:sms_spam,2026-03-28T03:13:21.908305,negative,0.75
"Just sent it. So what type of food do you like?
",negative,hf:sms_spam,2026-03-28T03:13:21.908305,negative,0.81
"Great! I hope you like your man well endowed. I am  &lt;#&gt;  inches...
",negative,hf:sms_spam,2026-03-28T03:13:21.908305,negative,0.73
"Hey pple...$700 or $900 for 5 nights...Excellent location wif breakfast hamper!!!
",positive,hf:sms_spam,2026-03-28T03:13:21.908305,positive,0.88
"PRIVATE! Your 2003 Account Statement for shows 800 un-redeemed S.I.M. points. Call 08715203685 Identifier Code:4xx26 Expires 13/10/04
",positive,hf:sms_spam,2026-03-28T03:13:21.908305,positive,0.93
"Hello- thanx for taking that call. I got a job! Starts on monday!
",negative,hf:sms_spam,2026-03-28T03:13:21.908305,negative,0.95
"“It is our choices, Harry, that show what we truly are, far more than our abilities.”",negative,scrape:https://quotes.toscrape.com,2026-03-28T03:13:22.794134,negative,0.98
"wamma get laid?want real doggin locations sent direct to your mobile? join the UKs largest dogging network. txt dogs to 69696 now!nyt. ec2a. 3lp £1.50/msg.
",positive,hf:sms_spam,2026-03-28T03:13:21.908305,positive,0.92
"T-Mobile customer you may now claim your FREE CAMERA PHONE upgrade & a pay & go sim card for your loyalty. Call on 0845 021 3680.Offer ends 28thFeb.T&C's apply
",positive,hf:sms_spam,2026-03-28T03:13:21.908305,positive,0.88
"Yup... I havent been there before... You want to go for the yoga? I can call up to book 
",negative,hf:sms_spam,2026-03-28T03:13:21.908305,negative,0.9
"Do well :)all will for little time. Thing of good times ahead:
",negative,hf:sms_spam,2026-03-28T03:13:21.908305,negative,0.85
"Actually fuck that, just do whatever, do find an excuse to be in tampa at some point before january though
",negative,hf:sms_spam,2026-03-28T03:13:21.908305,negative,0.92
"U should have made an appointment
",negative,hf:sms_spam,2026-03-28T03:13:21.908305,negative,0.88
"FREEMSG: Our records indicate you may be entitled to 3750 pounds for the Accident you had. To claim for free reply with YES to this msg. To opt out text STOP
",positive,hf:sms_spam,2026-03-28T03:13:21.908305,positive,0.95
"Sunshine Quiz Wkly Q! Win a top Sony DVD player if u know which country the Algarve is in? Txt ansr to 82277. £1.50 SP:Tyrone
",positive,hf:sms_spam,2026-03-28T03:13:21.908305,positive,0.9
"You know, wot people wear. T shirts, jumpers, hat, belt, is all we know. We r at Cribbs
",negative,hf:sms_spam,2026-03-28T03:13:21.908305,negative,0.86
"Come round, it's . 
",negative,hf:sms_spam,2026-03-28T03:13:21.908305,negative,0.75
"Goodnight da thangam I really miss u dear.
",negative,hf:sms_spam,2026-03-28T03:13:21.908305,negative,0.92
"Pls she needs to dat slowly or she will vomit more.
",negative,hf:sms_spam,2026-03-28T03:13:21.908305,negative,0.8
"New Theory: Argument wins d SITUATION, but loses the PERSON. So dont argue with ur friends just.. . . . kick them &amp; say, I'm always correct.!
",negative,hf:sms_spam,2026-03-28T03:13:21.908305,negative,0.85
"Hungry gay guys feeling hungry and up 4 it, now. Call 08718730555 just 10p/min. To stop texts call 08712460324 (10p/min)
",positive,hf:sms_spam,2026-03-28T03:13:21.908305,positive,0.89
"Wishing you and your family Merry ""X"" mas and HAPPY NEW Year in advance..
",negative,hf:sms_spam,2026-03-28T03:13:21.908305,negative,0.93
"Are you still playing with gautham?
",negative,hf:sms_spam,2026-03-28T03:13:21.908305,negative,0.88
"Rose needs water, season needs change, poet needs imagination..My phone needs ur sms and i need ur lovely frndship forever....
",negative,hf:sms_spam,2026-03-28T03:13:21.908305,negative,0.82
"Oh ! A half hour is much longer in Syria than Canada, eh ? Wow you must get SO much more work done in a day than us with all that extra time ! *grins*
",negative,hf:sms_spam,2026-03-28T03:13:21.908305,negative,0.91
"We can make a baby in yo tho
",positive,hf:sms_spam,2026-03-28T03:13:21.908305,positive,0.72
"Just seeing your missed call my dear brother. Do have a gr8 day.
",negative,hf:sms_spam,2026-03-28T03:13:21.908305,negative,0.88
"100 dating service cal;l 09064012103 box334sk38ch
",positive,hf:sms_spam,2026-03-28T03:13:21.908305,positive,0.92
"This is the 2nd time we have tried 2 contact u. U have won the £750 Pound prize. 2 claim is easy, call 087187272008 NOW1! Only 10p per minute. BT-national-rate.
",positive,hf:sms_spam,2026-03-28T03:13:21.908305,positive,0.96
"The Xmas story is peace.. The Xmas msg is love.. The Xmas miracle is jesus.. Hav a blessed month ahead &amp; wish U Merry Xmas...
",negative,hf:sms_spam,2026-03-28T03:13:21.908305,negative,0.85
"Camera quite good, 10.1mega pixels, 3optical and 5digital dooms. Have a lovely holiday, be safe and i hope you hav a good journey! Happy new year to you both! See you in a couple of weeks! 
",negative,hf:sms_spam,2026-03-28T03:13:21.908305,negative,0.78
"Ok i wont call or disturb any one. I know all are avoiding me. I am a burden for all
",negative,hf:sms_spam,2026-03-28T03:13:21.908305,negative,0.82
"Double Mins & 1000 txts on Orange tariffs. Latest Motorola, SonyEricsson & Nokia with Bluetooth FREE! Call MobileUpd8 on 08000839402 or call2optout/HF8
",positive,hf:sms_spam,2026-03-28T03:13:21.908305,positive,0.94
"I tot u outside cos darren say u come shopping. Of course we nice wat. We jus went sim lim look at mp3 player.
",negative,hf:sms_spam,2026-03-28T03:13:21.908305,negative,0.75
"Hey! Congrats 2u2. id luv 2 but ive had 2 go home!
",negative,hf:sms_spam,2026-03-28T03:13:21.908305,negative,0.82
"Sorry, went to bed early, nightnight
",negative,hf:sms_spam,2026-03-28T03:13:21.908305,negative,0.8
"Yes when is the appt again?
",negative,hf:sms_spam,2026-03-28T03:13:21.908305,negative,0.75
"Xmas Offer! Latest Motorola, SonyEricsson & Nokia & FREE Bluetooth or DVD! Double Mins & 1000 Txt on Orange. Call MobileUpd8 on 08000839402 or call2optout/4QF2
",positive,hf:sms_spam,2026-03-28T03:13:21.908305,positive,0.95
"Sorry that was my uncle. I.ll keep in touch
",negative,hf:sms_spam,2026-03-28T03:13:21.908305,negative,0.8
"I'm already back home so no probably not
",negative,hf:sms_spam,2026-03-28T03:13:21.908305,negative,0.7
"Pls send me a comprehensive mail about who i'm paying, when and how much.
",negative,hf:sms_spam,2026-03-28T03:13:21.908305,negative,0.72
"Dear, will call Tmorrow.pls accomodate.
",negative,hf:sms_spam,2026-03-28T03:13:21.908305,negative,0.88
"Gud gud..k, chikku tke care.. sleep well gud nyt
",negative,hf:sms_spam,2026-03-28T03:13:21.908305,negative,0.9
"ALSO TELL HIM I SAID HAPPY BIRTHDAY
",negative,hf:sms_spam,2026-03-28T03:13:21.908305,negative,0.85
"So the sun is anti sleep medicine.
",negative,hf:sms_spam,2026-03-28T03:13:21.908305,negative,0.82
"Dorothy@kiefer.com (Bank of Granite issues Strong-Buy) EXPLOSIVE PICK FOR OUR MEMBERS *****UP OVER 300% *********** Nasdaq Symbol CDGT That is a $5.00 per..
",positive,hf:sms_spam,2026-03-28T03:13:21.908305,positive,0.92
"Did u receive my msg?
",negative,hf:sms_spam,2026-03-28T03:13:21.908305,negative,0.87
"Wait  &lt;#&gt;  min..
",negative,hf:sms_spam,2026-03-28T03:13:21.908305,negative,0.8
"U gd lor go shopping i got stuff to do. U wan 2 watch infernal affairs a not? Come lar...
",negative,hf:sms_spam,2026-03-28T03:13:21.908305,negative,0.89
"I always chat with you. In fact i need money can you raise me?
",negative,hf:sms_spam,2026-03-28T03:13:21.908305,negative,0.72
"Gr8 Poly tones 4 ALL mobs direct 2u rply with POLY TITLE to 8007 eg POLY BREATHE1 Titles: CRAZYIN, SLEEPINGWITH, FINEST, YMCA :getzed.co.uk POBox365O4W45WQ 300p
",positive,hf:sms_spam,2026-03-28T03:13:21.908305,positive,0.89
"PRIVATE! Your 2004 Account Statement for 078498****7 shows 786 unredeemed Bonus Points. To claim call 08719180219 Identifier Code: 45239 Expires 06.05.05
",positive,hf:sms_spam,2026-03-28T03:13:21.908305,positive,0.9
"You've always been the brainy one.
",negative,hf:sms_spam,2026-03-28T03:13:21.908305,negative,0.86
"Who were those people ? Were you in a tour ? I thought you were doing that sofa thing you sent me ? Your curious sugar
",negative,hf:sms_spam,2026-03-28T03:13:21.908305,negative,0.88
"You lifted my hopes with the offer of money. I am in need. Especially when the end of the month approaches and it hurts my studying. Anyways have a gr8 weekend
",negative,hf:sms_spam,2026-03-28T03:13:21.908305,negative,0.75
"Hello. Sort of out in town already. That . So dont rush home, I am eating nachos. Will let you know eta.
",negative,hf:sms_spam,2026-03-28T03:13:21.908305,negative,0.89
“The world as we have created it is a process of our thinking. It cannot be changed without changing our thinking.”,negative,scrape:https://quotes.toscrape.com,2026-03-28T03:13:22.794068,negative,0.83
"Great. So should i send you my account number.
",negative,hf:sms_spam,2026-03-28T03:13:21.908305,negative,0.71
"Sex up ur mobile with a FREE sexy pic of Jordan! Just text BABE to 88600. Then every wk get a sexy celeb! PocketBabe.co.uk 4 more pics. 16 £3/wk 087016248
",positive,hf:sms_spam,2026-03-28T03:13:21.908305,positive,0.94
"Will ü b going to esplanade fr home?
",negative,hf:sms_spam,2026-03-28T03:13:21.908305,negative,0.86
"Im just wondering what your doing right now?
",negative,hf:sms_spam,2026-03-28T03:13:21.908305,negative,0.89
"Dear,shall mail tonite.busy in the street,shall update you tonite.things are looking ok.varunnathu edukkukayee raksha ollu.but a good one in real sense.
",negative,hf:sms_spam,2026-03-28T03:13:21.908305,negative,0.72
"Sorry my roommates took forever, it ok if I come by now?
",negative,hf:sms_spam,2026-03-28T03:13:21.908305,negative,0.88
"Can you use foreign stamps for whatever you send them off for? 
",negative,hf:sms_spam,2026-03-28T03:13:21.908305,negative,0.75
"Hey you told your name to gautham ah?
",negative,hf:sms_spam,2026-03-28T03:13:21.908305,negative,0.85
"Nope... Think i will go for it on monday... Sorry i replied so late
",negative,hf:sms_spam,2026-03-28T03:13:21.908305,negative,0.82
"Promotion Number: 8714714 - UR awarded a City Break and could WIN a £200 Summer Shopping spree every WK. Txt STORE to 88039 . SkilGme. TsCs087147403231Winawk!Age16 £1.50perWKsub
",positive,hf:sms_spam,2026-03-28T03:13:21.908305,positive,0.98
"URGENT! Your Mobile No. was awarded £2000 Bonus Caller Prize on 5/9/03 This is our final try to contact U! Call from Landline 09064019788 BOX42WR29C, 150PPM
",positive,hf:sms_spam,2026-03-28T03:13:21.908305,positive,0.97
"How are you doing? Hope you've settled in for the new school year. Just wishin you a gr8 day
",negative,hf:sms_spam,2026-03-28T03:13:21.908305,negative,0.89
"I plane to give on this month end.
",negative,hf:sms_spam,2026-03-28T03:13:21.908305,negative,0.7
"Thanks for your ringtone order, reference number X49.Your mobile will be charged 4.50. Should your tone not arrive please call customer services 09065989182
",positive,hf:sms_spam,2026-03-28T03:13:21.908305,positive,0.92
"New Mobiles from 2004, MUST GO! Txt: NOKIA to No: 89545 & collect yours today! From ONLY £1. www.4-tc.biz 2optout 087187262701.50gbp/mtmsg18 TXTAUCTION.
",positive,hf:sms_spam,2026-03-28T03:13:21.908305,positive,0.96
"So how's the weather over there?
",negative,hf:sms_spam,2026-03-28T03:13:21.908305,negative,0.91
"I not at home now lei...
",negative,hf:sms_spam,2026-03-28T03:13:21.908305,negative,0.8
"And is there a way you can send shade's stuff to her. And she has been wonderful too.
",negative,hf:sms_spam,2026-03-28T03:13:21.908305,negative,0.78
"U guys never invite me anywhere :(
",negative,hf:sms_spam,2026-03-28T03:13:21.908305,negative,0.85
"UR GOING 2 BAHAMAS! CallFREEFONE 08081560665 and speak to a live operator to claim either Bahamas cruise of£2000 CASH 18+only. To opt out txt X to 07786200117
",positive,hf:sms_spam,2026-03-28T03:13:21.908305,positive,0.99
"My battery is low babe
",negative,hf:sms_spam,2026-03-28T03:13:21.908305,negative,0.92
"ok. I am a gentleman and will treat you with dignity and respect.
",negative,hf:sms_spam,2026-03-28T03:13:21.908305,negative,0.88
"Want to funk up ur fone with a weekly new tone reply TONES2U 2 this text. www.ringtones.co.uk, the original n best. Tones 3GBP network operator rates apply
",positive,hf:sms_spam,2026-03-28T03:13:21.908305,positive,0.96
"Ok how you dear. Did you call chechi
",negative,hf:sms_spam,2026-03-28T03:13:21.908305,negative,0.85
"He will, you guys close?
",negative,hf:sms_spam,2026-03-28T03:13:21.908305,negative,0.75
"Which is why i never wanted to tell you any of this. Which is why i'm so short with you and on-edge as of late.
",negative,hf:sms_spam,2026-03-28T03:13:21.908305,negative,0.82
"ou are guaranteed the latest Nokia Phone, a 40GB iPod MP3 player or a £500 prize! Txt word: COLLECT to No: 83355! IBHltd LdnW15H 150p/Mtmsgrcvd18
",positive,hf:sms_spam,2026-03-28T03:13:21.908305,positive,0.97
"Yeah I should be able to, I'll text you when I'm ready to meet up
",negative,hf:sms_spam,2026-03-28T03:13:21.908305,negative,0.9
"No..but heard abt tat..
",negative,hf:sms_spam,2026-03-28T03:13:21.908305,negative,0.8
"Tomorrow i am not going to theatre. . . So i can come wherever u call me. . . Tell me where and when to come tomorrow
",negative,hf:sms_spam,2026-03-28T03:13:21.908305,negative,0.87
"Hi di is yijue we're meeting at 7 pm at esaplanade tonight.
",negative,hf:sms_spam,2026-03-28T03:13:21.908305,negative,0.83
"Right it wasnt you who phoned it was someone with a number like yours!
",negative,hf:sms_spam,2026-03-28T03:13:21.908305,negative,0.81
"PRIVATE! Your 2003 Account Statement for 078
",positive,hf:sms_spam,2026-03-28T03:13:21.908305,positive,0.72
".Please charge my mobile when you get up in morning.
",negative,hf:sms_spam,2026-03-28T03:13:21.908305,negative,0.84
"Yeah, give me a call if you've got a minute
",negative,hf:sms_spam,2026-03-28T03:13:21.908305,negative,0.89
"Dear are you angry i was busy dear
",negative,hf:sms_spam,2026-03-28T03:13:21.908305,negative,0.79
"Hack Chat. Get backdoor entry into 121 chat rooms at a fraction of the cost. Reply NEO69 or call 09050280520, to subscribe 25p pm. DPS, Bcm box 8027 Ldn, wc1n3xx
",positive,hf:sms_spam,2026-03-28T03:13:21.908305,positive,0.95
"Call Germany for only 1 pence per minute! Call from a fixed line via access number 0844 861 85 85. No prepayment. Direct access!
",positive,hf:sms_spam,2026-03-28T03:13:21.908305,positive,0.87
"Aft i finish my lunch then i go str down lor. Ard 3 smth lor. U finish ur lunch already?
",negative,hf:sms_spam,2026-03-28T03:13:21.908305,negative,0.81
"Ok but knackered. Just came home and went to sleep! Not good at this full time work lark.
",negative,hf:sms_spam,2026-03-28T03:13:21.908305,negative,0.86
"An excellent thought by a misundrstud frnd: I knw u hate me bt the day wen u'll knw the truth u'll hate urself:-( Gn:-)
",negative,hf:sms_spam,2026-03-28T03:13:21.908305,negative,0.72
"Cos i was out shopping wif darren jus now n i called him 2 ask wat present he wan lor. Then he started guessing who i was wif n he finally guessed darren lor.
",negative,hf:sms_spam,2026-03-28T03:13:21.908305,negative,0.75
"Friends that u can stay on fb chat with
",negative,hf:sms_spam,2026-03-28T03:13:21.908305,negative,0.7
"Wif my family booking tour package.
",negative,hf:sms_spam,2026-03-28T03:13:21.908305,negative,0.73
"You are right though. I can't give you the space you want and need. This is really starting to become an issue. I was going to suggest setting a definite move out--if i'm still there-- after greece. But maybe you are ready and should do it now.
",negative,hf:sms_spam,2026-03-28T03:13:21.908305,negative,0.78
"Ha ha ha good joke. Girls are situation seekers.
",negative,hf:sms_spam,2026-03-28T03:13:21.908305,negative,0.74
"Why don't you go tell your friend you're not sure you want to live with him because he smokes too much then spend hours begging him to come smoke
",negative,hf:sms_spam,2026-03-28T03:13:21.908305,negative,0.72
"I'm sorry. I've joined the league of people that dont keep in touch. You mean a great deal to me. You have been a friend at all times even at great personal cost. Do have a great week.|
",negative,hf:sms_spam,2026-03-28T03:13:21.908305,negative,0.76
"Your account has been refilled successfully by INR  &lt;DECIMAL&gt; . Your KeralaCircle prepaid account balance is Rs  &lt;DECIMAL&gt; . Your Transaction ID is KR &lt;#&gt; .
",positive,hf:sms_spam,2026-03-28T03:13:21.908305,positive,0.88
